poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
89512,534,Virginia Commonwealth U.,"","",Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,370,Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,2.1,-0.1,Live Phone/Text-to-Web,9.0,Virginia,12/18/24,1/15/25,,"",,,,,217786,806,a,,a,,1/24/25 11:33,"",https://wilder.vcu.edu/news-and-events/news-posts/commonwealth-poll-virginians-overwhelmingly-concerned-about-cost-of-living.html,https://wilder.vcu.edu/news-and-events/news-posts/commonwealth-poll-virginians-overwhelmingly-concerned-about-cost-of-living.html,,,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,DEM,Spanberger,31079,Abigail A. Spanberger,44.0
89512,534,Virginia Commonwealth U.,"","",Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,370,Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,2.1,-0.1,Live Phone/Text-to-Web,9.0,Virginia,12/18/24,1/15/25,,"",,,,,217786,806,a,,a,,1/24/25 11:33,"",https://wilder.vcu.edu/news-and-events/news-posts/commonwealth-poll-virginians-overwhelmingly-concerned-about-cost-of-living.html,https://wilder.vcu.edu/news-and-events/news-posts/commonwealth-poll-virginians-overwhelmingly-concerned-about-cost-of-living.html,,,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,REP,Sears,31081,Winsome Sears,34.0
89487,94,Christopher Newport U.,"","",Christopher Newport University Wason Center for Civic Leadership,50,Christopher Newport University Wason Center for Civic Leadership,2.8,-0.6,Live Phone,9.0,Virginia,1/6/25,1/13/25,,"",,,,,217567,806,rv,,rv,,1/16/25 10:25,"",https://cnu.edu/wasoncenter/surveys/archive/2025-01-16.html,https://cnu.edu/wasoncenter/surveys/archive/2025-01-16.html,,https://mcusercontent.com/0a86688a0d7c707f9159df222/files/96d6f230-4a93-a07c-e586-a5793073a736/FinalSOC2025.01.pdf,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,DEM,Spanberger,31079,Abigail A. Spanberger,44.0
89487,94,Christopher Newport U.,"","",Christopher Newport University Wason Center for Civic Leadership,50,Christopher Newport University Wason Center for Civic Leadership,2.8,-0.6,Live Phone,9.0,Virginia,1/6/25,1/13/25,,"",,,,,217567,806,rv,,rv,,1/16/25 10:25,"",https://cnu.edu/wasoncenter/surveys/archive/2025-01-16.html,https://cnu.edu/wasoncenter/surveys/archive/2025-01-16.html,,https://mcusercontent.com/0a86688a0d7c707f9159df222/files/96d6f230-4a93-a07c-e586-a5793073a736/FinalSOC2025.01.pdf,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,REP,Sears,31081,Winsome Sears,39.0
89476,1102,Emerson,960,The Hill,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Opt-In Panel/Text-to-Web,7.0,Virginia,1/6/25,1/8/25,,"",,,,,217423,1000,rv,,rv,,1/9/25 09:23,"",https://emersoncollegepolling.com/virginia-2025-poll-spanberger-d-42-earle-sears-r-41/,https://emersoncollegepolling.com/virginia-2025-poll-spanberger-d-42-earle-sears-r-41/,,https://docs.google.com/spreadsheets/d/17Cg9d2cAskev5JZDG-Of47P4Ka3bgrFF/edit?gid=145896713#gid=145896713,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,DEM,Spanberger,31079,Abigail A. Spanberger,41.8
89476,1102,Emerson,960,The Hill,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Opt-In Panel/Text-to-Web,7.0,Virginia,1/6/25,1/8/25,,"",,,,,217423,1000,rv,,rv,,1/9/25 09:23,"",https://emersoncollegepolling.com/virginia-2025-poll-spanberger-d-42-earle-sears-r-41/,https://emersoncollegepolling.com/virginia-2025-poll-spanberger-d-42-earle-sears-r-41/,,https://docs.google.com/spreadsheets/d/17Cg9d2cAskev5JZDG-Of47P4Ka3bgrFF/edit?gid=145896713#gid=145896713,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,REP,Sears,31081,Winsome Sears,41.0
89462,1232,Gonzales Research & Media Services,"","",Gonzales Research & Marketing Strategies,121,Gonzales Research & Marketing Strategies Inc.,1.2,0.4,Live Phone,5.0,Maryland,12/27/24,1/4/25,,"",,,,,217355,811,rv,,rv,,1/7/25 10:54,"",https://projects.fivethirtyeight.com/polls/20250106_MD_Gonzales.pdf,,,https://projects.fivethirtyeight.com/polls/20250106_MD_Gonzales.pdf,"",,,16080,2026,Governor,0,,11/3/26,general,false,false,,true,DEM,Moore,37812,Wes Moore,52.5
89462,1232,Gonzales Research & Media Services,"","",Gonzales Research & Marketing Strategies,121,Gonzales Research & Marketing Strategies Inc.,1.2,0.4,Live Phone,5.0,Maryland,12/27/24,1/4/25,,"",,,,,217355,811,rv,,rv,,1/7/25 10:54,"",https://projects.fivethirtyeight.com/polls/20250106_MD_Gonzales.pdf,,,https://projects.fivethirtyeight.com/polls/20250106_MD_Gonzales.pdf,"",,,16080,2026,Governor,0,,11/3/26,general,false,false,,true,REP,Hogan,37813,Larry Hogan,37.7
89477,289,Mason-Dixon,"","",Mason-Dixon Polling & Strategy,197,Mason-Dixon Polling & Strategy,2.6,-1.1,Live Phone,,Virginia,12/15/24,12/19/24,,"",,,,,217424,625,rv,,rv,,1/10/25 10:03,"",https://virginiamercury.com/briefs/another-poll-confirms-tight-virginia-governors-race-between-spanberger-and-earle-sears/,https://virginiamercury.com/briefs/another-poll-confirms-tight-virginia-governors-race-between-spanberger-and-earle-sears/,,https://projects.fivethirtyeight.com/polls/20250110_VA_MasonDixon.pdf,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,DEM,Spanberger,31079,Abigail A. Spanberger,47.0
89477,289,Mason-Dixon,"","",Mason-Dixon Polling & Strategy,197,Mason-Dixon Polling & Strategy,2.6,-1.1,Live Phone,,Virginia,12/15/24,12/19/24,,"",,,,,217424,625,rv,,rv,,1/10/25 10:03,"",https://virginiamercury.com/briefs/another-poll-confirms-tight-virginia-governors-race-between-spanberger-and-earle-sears/,https://virginiamercury.com/briefs/another-poll-confirms-tight-virginia-governors-race-between-spanberger-and-earle-sears/,,https://projects.fivethirtyeight.com/polls/20250110_VA_MasonDixon.pdf,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,REP,Sears,31081,Winsome Sears,44.0
89477,289,Mason-Dixon,"","",Mason-Dixon Polling & Strategy,197,Mason-Dixon Polling & Strategy,2.6,-1.1,Live Phone,,Virginia,12/15/24,12/19/24,,"",,,,,217425,625,rv,,rv,,1/10/25 10:04,"",https://virginiamercury.com/briefs/another-poll-confirms-tight-virginia-governors-race-between-spanberger-and-earle-sears/,https://virginiamercury.com/briefs/another-poll-confirms-tight-virginia-governors-race-between-spanberger-and-earle-sears/,,https://projects.fivethirtyeight.com/polls/20250110_VA_MasonDixon.pdf,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,DEM,Scott,37816,"Robert C. ""Bobby"" Scott",44.0
89477,289,Mason-Dixon,"","",Mason-Dixon Polling & Strategy,197,Mason-Dixon Polling & Strategy,2.6,-1.1,Live Phone,,Virginia,12/15/24,12/19/24,,"",,,,,217425,625,rv,,rv,,1/10/25 10:04,"",https://virginiamercury.com/briefs/another-poll-confirms-tight-virginia-governors-race-between-spanberger-and-earle-sears/,https://virginiamercury.com/briefs/another-poll-confirms-tight-virginia-governors-race-between-spanberger-and-earle-sears/,,https://projects.fivethirtyeight.com/polls/20250110_VA_MasonDixon.pdf,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,REP,Sears,31081,Winsome Sears,46.0
88688,1888,UMass Amherst/YouGov,1233,WCVB-TV,University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,10/3/24,10/10/24,,"",,,,,213042,700,a,,a,,10/17/24 08:44,"",https://www.umass.edu/political-science/about/reports/2024-7,https://www.umass.edu/political-science/about/reports/2024-7,https://projects.fivethirtyeight.com/polls/20241017_MA_UMasstoplines.pdf,https://projects.fivethirtyeight.com/polls/20241017_MA_UMassxtabs.pdf,"",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,DEM,Healey,37543,Maura Healey,40.0
88688,1888,UMass Amherst/YouGov,1233,WCVB-TV,University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,10/3/24,10/10/24,,"",,,,,213042,700,a,,a,,10/17/24 08:44,"",https://www.umass.edu/political-science/about/reports/2024-7,https://www.umass.edu/political-science/about/reports/2024-7,https://projects.fivethirtyeight.com/polls/20241017_MA_UMasstoplines.pdf,https://projects.fivethirtyeight.com/polls/20241017_MA_UMassxtabs.pdf,"",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,REP,Kennealy,37544,Michael Kennealy,14.0
88688,1888,UMass Amherst/YouGov,1233,WCVB-TV,University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,10/3/24,10/10/24,,"",,,,,213043,700,a,,a,,10/17/24 08:44,"",https://www.umass.edu/political-science/about/reports/2024-7,https://www.umass.edu/political-science/about/reports/2024-7,https://projects.fivethirtyeight.com/polls/20241017_MA_UMasstoplines.pdf,https://projects.fivethirtyeight.com/polls/20241017_MA_UMassxtabs.pdf,"",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,DEM,Healey,37543,Maura Healey,43.0
88688,1888,UMass Amherst/YouGov,1233,WCVB-TV,University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,10/3/24,10/10/24,,"",,,,,213043,700,a,,a,,10/17/24 08:44,"",https://www.umass.edu/political-science/about/reports/2024-7,https://www.umass.edu/political-science/about/reports/2024-7,https://projects.fivethirtyeight.com/polls/20241017_MA_UMasstoplines.pdf,https://projects.fivethirtyeight.com/polls/20241017_MA_UMassxtabs.pdf,"",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,REP,Polito,37545,Karyn E. Polito,16.0
88688,1888,UMass Amherst/YouGov,1233,WCVB-TV,University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,10/3/24,10/10/24,,"",,,,,213044,700,a,,a,,10/17/24 08:44,"",https://www.umass.edu/political-science/about/reports/2024-7,https://www.umass.edu/political-science/about/reports/2024-7,https://projects.fivethirtyeight.com/polls/20241017_MA_UMasstoplines.pdf,https://projects.fivethirtyeight.com/polls/20241017_MA_UMassxtabs.pdf,"",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,DEM,Healey,37543,Maura Healey,44.0
88688,1888,UMass Amherst/YouGov,1233,WCVB-TV,University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,10/3/24,10/10/24,,"",,,,,213044,700,a,,a,,10/17/24 08:44,"",https://www.umass.edu/political-science/about/reports/2024-7,https://www.umass.edu/political-science/about/reports/2024-7,https://projects.fivethirtyeight.com/polls/20241017_MA_UMasstoplines.pdf,https://projects.fivethirtyeight.com/polls/20241017_MA_UMassxtabs.pdf,"",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,REP,O'Connell,37546,Shaunna L. O'Connell,14.0
88688,1888,UMass Amherst/YouGov,1233,WCVB-TV,University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,10/3/24,10/10/24,,"",,,,,213045,700,a,,a,,10/17/24 08:44,"",https://www.umass.edu/political-science/about/reports/2024-7,https://www.umass.edu/political-science/about/reports/2024-7,https://projects.fivethirtyeight.com/polls/20241017_MA_UMasstoplines.pdf,https://projects.fivethirtyeight.com/polls/20241017_MA_UMassxtabs.pdf,"",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,DEM,Healey,37543,Maura Healey,47.0
88688,1888,UMass Amherst/YouGov,1233,WCVB-TV,University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,10/3/24,10/10/24,,"",,,,,213045,700,a,,a,,10/17/24 08:44,"",https://www.umass.edu/political-science/about/reports/2024-7,https://www.umass.edu/political-science/about/reports/2024-7,https://projects.fivethirtyeight.com/polls/20241017_MA_UMasstoplines.pdf,https://projects.fivethirtyeight.com/polls/20241017_MA_UMassxtabs.pdf,"",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,REP,Diehl,37547,Geoff Diehl,19.0
88688,1888,UMass Amherst/YouGov,1233,WCVB-TV,University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,10/3/24,10/10/24,,"",,,,,213046,700,a,,a,,10/17/24 08:45,"",https://www.umass.edu/political-science/about/reports/2024-7,https://www.umass.edu/political-science/about/reports/2024-7,https://projects.fivethirtyeight.com/polls/20241017_MA_UMasstoplines.pdf,https://projects.fivethirtyeight.com/polls/20241017_MA_UMassxtabs.pdf,"",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,DEM,Healey,37543,Maura Healey,46.0
88688,1888,UMass Amherst/YouGov,1233,WCVB-TV,University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,10/3/24,10/10/24,,"",,,,,213046,700,a,,a,,10/17/24 08:45,"",https://www.umass.edu/political-science/about/reports/2024-7,https://www.umass.edu/political-science/about/reports/2024-7,https://projects.fivethirtyeight.com/polls/20241017_MA_UMasstoplines.pdf,https://projects.fivethirtyeight.com/polls/20241017_MA_UMassxtabs.pdf,"",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,REP,Amore,37548,Anthony M. Amore,20.0
